[06 jun 15:20:59] Created new character, Hardeath(268481224), hardeath950 127.0.0.1
[06 jun 15:21:02] Logged in, Hardeath(268481224) hardeath950 127.0.0.1
[06 jun 15:22:02] Logged out, Hardeath(268481224) hardeath950 127.0.0.1
[06 jun 15:23:34] Logged in, Hardeath(268481224) hardeath950 127.0.0.1
[06 jun 16:00:48] Disconnected, Hardeath(268481224) hardeath950 127.0.0.1
[19 set 14:42:11] Created new character, CopyLeft(268481265), ricardoxdc 127.0.0.1
[19 set 14:42:19] Logged in, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 14:43:16] Logged out, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 14:47:50] Logged in, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 14:48:26] Logged out, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 14:50:40] Logged in, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 14:51:12] Logged out, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 14:56:38] Logged in, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 14:58:24] Disconnected, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 15:09:34] Logged in, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 15:13:54] Logged out, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 15:14:23] Logged in, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 15:14:55] Disconnected, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 15:32:55] Logged in, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 16:01:43] Logged out, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 16:02:04] Logged in, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 16:02:31] Logged in, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 16:09:21] Disconnected, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 16:17:21] Logged in, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 16:28:03] Logged out, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 16:28:28] Logged in, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 16:39:30] Disconnected, CopyLeft(268481265) ricardoxdc 127.0.0.1
[19 set 22:54:08] Logged in, CopyLeft(268481265) ricardoxdc 25.6.152.4
[19 set 23:03:34] Created new character, iLeo(268481875), kakuso 25.7.49.215
[19 set 23:03:37] Logged in, iLeo(268481875) kakuso 25.7.49.215
[19 set 23:06:49] Created new character, Innie(268481918), innie 25.6.141.8
[19 set 23:06:49] Logged out, iLeo(268481875) kakuso 25.7.49.215
[19 set 23:06:55] Logged in, iLeo(268481875) kakuso 25.7.49.215
[19 set 23:06:56] Logged in, Innie(268481918) innie 25.6.141.8
[19 set 23:07:41] Logged out, Innie(268481918) innie 25.6.141.8
[19 set 23:07:44] Logged in, Innie(268481918) innie 25.6.141.8
[19 set 23:12:33] Created new character, IJACK(268482624), jacksonxdc 25.7.147.96
[19 set 23:12:36] Logged in, IJACK(268482624) jacksonxdc 25.7.147.96
[19 set 23:13:02] Logged out, CopyLeft(268481265) ricardoxdc 25.6.152.4
[19 set 23:13:24] Logged in, CopyLeft(268481265) ricardoxdc 25.6.152.4
[19 set 23:14:25] Logged out, IJACK(268482624) jacksonxdc 25.7.147.96
[19 set 23:14:32] Logged in, IJACK(268482624) jacksonxdc 25.7.147.96
[19 set 23:18:09] Logged out, Innie(268481918) innie 25.6.141.8
[19 set 23:18:12] Logged in, Innie(268481918) innie 25.6.141.8
[19 set 23:35:26] Logged out, iJackson(268482624) jacksonxdc 25.7.147.96
[19 set 23:35:38] Logged in, iJackson(268482624) jacksonxdc 25.7.147.96
[19 set 23:45:32] Disconnected abnormally, iJackson(268482624) jacksonxdc 25.7.147.96
[19 set 23:46:25] Logged in, iJackson(268482624) jacksonxdc 25.7.147.96
[20 set 0:20:42] Disconnected, Innie(268481918) innie 25.6.141.8
[20 set 1:41:05] Disconnected, iLeo(268481875) kakuso 25.7.49.215
[20 set 2:02:34] Disconnected, iJackson(268482624) jacksonxdc 25.7.147.96
[20 set 2:02:39] Disconnected, CopyLeft(268481265) ricardoxdc 25.6.152.4
[20 set 9:36:51] Logged in, CopyLeft(268481265) ricardoxdc 25.6.152.4
[20 set 10:19:19] Created new character, Tester(268484151), ricardoxdc1 25.6.152.4
[20 set 10:19:35] Logged in, Tester(268484151) ricardoxdc1 25.6.152.4
