[19 set 16:02:04] AUDIT:Player CopyLeft has invalid skill Triple Slash (1/37), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:04] AUDIT:Player CopyLeft has invalid skill Confusion (2/19), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:04] AUDIT:Player CopyLeft has invalid skill Power Strike (3/9), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:04] AUDIT:Player CopyLeft has invalid skill Double Sonic Slash (5/31), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:04] AUDIT:Player CopyLeft has invalid skill Sonic Blaster (6/37), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:04] AUDIT:Player CopyLeft has invalid skill Sonic Storm (7/28), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:04] AUDIT:Player CopyLeft has invalid skill Sonic Focus (8/8), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:04] AUDIT:Player CopyLeft has invalid skill Sonic Buster (9/34), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:04] AUDIT:Player CopyLeft has invalid skill Trick (11/12), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:04] AUDIT:Player CopyLeft has invalid skill Mortal Blow (16/24), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:04] AUDIT:Player CopyLeft has invalid skill Unlock (27/14), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:04] AUDIT:Player CopyLeft has invalid skill Backstab (30/37), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Lure (51/1), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Power Shot (56/24), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
[19 set 16:02:05] AUDIT:Player CopyLeft has invalid skill Drain Health (70/53), class:Maestro, L2PcInstance:CopyLeft[268481265], BROADCAST
