[22 set 22:52:19] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Dynasty Circlet(1) [268483963], Blessed Scroll: Enchant Armor (S-Grade)(499) [268484517]
[22 set 22:52:22] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +2 Dynasty Circlet(1) [268483963], Blessed Scroll: Enchant Armor (S-Grade)(498) [268484517]
[22 set 22:52:25] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +3 Dynasty Circlet(1) [268483963], Blessed Scroll: Enchant Armor (S-Grade)(497) [268484517]
[22 set 22:52:29] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +4 Dynasty Circlet(1) [268483963], Blessed Scroll: Enchant Armor (S-Grade)(496) [268484517]
[22 set 22:52:32] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +5 Dynasty Circlet(1) [268483963], Blessed Scroll: Enchant Armor (S-Grade)(495) [268484517]
[22 set 22:52:38] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +6 Dynasty Circlet(1) [268483963], Blessed Scroll: Enchant Armor (S-Grade)(494) [268484517]
[22 set 22:52:41] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Dynasty Silver Satin Tunic {PvP} - Summoner(1) [268483962], Blessed Scroll: Enchant Armor (S-Grade)(493) [268484517]
[22 set 22:52:46] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +2 Dynasty Silver Satin Tunic {PvP} - Summoner(1) [268483962], Blessed Scroll: Enchant Armor (S-Grade)(492) [268484517]
[22 set 22:52:50] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +3 Dynasty Silver Satin Tunic {PvP} - Summoner(1) [268483962], Blessed Scroll: Enchant Armor (S-Grade)(491) [268484517]
[22 set 22:52:56] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +4 Dynasty Silver Satin Tunic {PvP} - Summoner(1) [268483962], Blessed Scroll: Enchant Armor (S-Grade)(490) [268484517]
[22 set 22:52:59] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +5 Dynasty Silver Satin Tunic {PvP} - Summoner(1) [268483962], Blessed Scroll: Enchant Armor (S-Grade)(489) [268484517]
[22 set 22:53:03] Blessed Fail, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, Dynasty Silver Satin Tunic {PvP} - Summoner(1) [268483962], Blessed Scroll: Enchant Armor (S-Grade)(488) [268484517]
[22 set 22:53:12] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +1 Dynasty Dual Daggers - Great Gale {PvP}(1) [268483968], Blessed Scroll: Enchant Weapon (S-Grade)(3) [268484527]
[22 set 22:53:19] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +2 Dynasty Dual Daggers - Great Gale {PvP}(1) [268483968], Blessed Scroll: Enchant Weapon (S-Grade)(2) [268484527]
[22 set 22:53:24] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +3 Dynasty Dual Daggers - Great Gale {PvP}(1) [268483968], Blessed Scroll: Enchant Weapon (S-Grade)(1) [268484527]
[22 set 22:53:31] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +4 Dynasty Dual Daggers - Great Gale {PvP}(1) [268483968], Blessed Scroll: Enchant Weapon (S-Grade)(0) [268484527]
[22 set 22:53:39] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Dynasty Tunic {PvP} - Summoner(1) [268484532], Blessed Scroll: Enchant Armor (S-Grade)(487) [268484517]
[22 set 22:53:39] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +1 Dynasty Jewel Leather Armor {PvP} - Dagger Master(1) [268484007], Blessed Scroll: Enchant Armor (S-Grade)(20) [268484528]
[22 set 22:53:43] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Dynasty Stockings(1) [268483966], Blessed Scroll: Enchant Armor (S-Grade)(486) [268484517]
[22 set 22:53:45] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +2 Dynasty Jewel Leather Armor {PvP} - Dagger Master(1) [268484007], Blessed Scroll: Enchant Armor (S-Grade)(19) [268484528]
[22 set 22:53:47] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +2 Dynasty Stockings(1) [268483966], Blessed Scroll: Enchant Armor (S-Grade)(485) [268484517]
[22 set 22:53:50] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +3 Dynasty Jewel Leather Armor {PvP} - Dagger Master(1) [268484007], Blessed Scroll: Enchant Armor (S-Grade)(18) [268484528]
[22 set 22:53:51] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +3 Dynasty Stockings(1) [268483966], Blessed Scroll: Enchant Armor (S-Grade)(484) [268484517]
[22 set 22:53:55] Blessed Fail, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, Dynasty Stockings(1) [268483966], Blessed Scroll: Enchant Armor (S-Grade)(483) [268484517]
[22 set 22:53:55] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +1 Dynasty Leather Helmet(1) [268484010], Blessed Scroll: Enchant Armor (S-Grade)(17) [268484528]
[22 set 22:54:01] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +2 Dynasty Leather Helmet(1) [268484010], Blessed Scroll: Enchant Armor (S-Grade)(16) [268484528]
[22 set 22:54:01] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +1 Dynasty Gloves - Robe(1) [268483964], Blessed Scroll: Enchant Armor (S-Grade)(482) [268484517]
[22 set 22:54:06] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +2 Dynasty Gloves - Robe(1) [268483964], Blessed Scroll: Enchant Armor (S-Grade)(481) [268484517]
[22 set 22:54:08] Success, Character:Arioto [268483782] Account:arioto87 IP:25.5.2.38, +3 Dynasty Leather Helmet(1) [268484010], Blessed Scroll: Enchant Armor (S-Grade)(15) [268484528]
[22 set 22:54:09] Success, Character:Sammy [268483841] Account:sammmy IP:25.5.107.18, +3 Dynasty Gloves - Robe(1) [268483964], Blessed Scroll: Enchant Armor (S-Grade)(480) [268484517]
